joueur,club_depart,club_arrivee,montant,date_transfert,type_transfert
Juan Esquivel,Tigre,Deportivo Moron,0,2026-03-17T08:50:36Z,on loan
Jota,Bahia,Athletic Club,0,2026-03-17T08:25:43Z,contract
Josh Laqeretabua,Charlton,Bath City,0,2026-03-17T05:30:20Z,on loan
Joseph McGrath,Hibernian,Stranraer,0,2026-03-17T05:18:44Z,on loan
José Ingratti,Club Atlético Mitre,Deportivo Riestra,0,2026-03-17T04:00:11Z,on loan
Fredrik Andersson,Varbergs BoIS FC,IFK Göteborg,0,2026-03-16T20:41:26Z,contract
Deval Muñoz,FBC Melgar,Binacional,0,2026-03-16T19:47:15Z,on loan
Rocco Reitz,M'gladbach,RB Leipzig,20000000,2026-03-16T15:03:13Z,contract
Giuseppe Panico,Avellino,Ternana,0,2026-03-16T14:06:49Z,on loan
Johan Parra,Alianza FC,Orsomarso Sportivo Clube,0,2026-03-16T13:42:59Z,contract
Joel Hjalmar,Häcken,Norrby,0,2026-03-16T13:36:15Z,contract
Joaquin Flores,River Plate,Central Cordoba de Santiago,0,2026-03-16T13:14:00Z,on loan
