player_id,team_name,player_name,nationality,position,age
249859,Crystal Palace,Walter Benítez,Argentina,G,
581610,Crystal Palace,Remi Matthews,England,G,
927083,Manchester United,Bryan Mbeumo,Cameroon,F,
971037,Manchester United,Amad Diallo,Côte d'Ivoire,F,
986397,Manchester United,Benjamin Šeško,Slovenia,F,
886363,Manchester United,Matheus Cunha,Brazil,F,
836694,Manchester United,Mason Mount,England,F,
917007,Manchester United,Joshua Zirkzee,Netherlands,F,
1566204,Manchester United,Chido Obi-Martin,Denmark,F,
288205,Manchester United,Bruno Fernandes,Portugal,M,
122951,Manchester United,Casemiro,Brazil,M,
1142175,Manchester United,Kobbie Mainoo,England,M,
1397168,Manchester United,Patrick Dorgu,Denmark,M,
846425,Manchester United,Manuel Ugarte,Uruguay,M,
1402726,Manchester United,Jack Fletcher,England,M,
1402850,Manchester United,Tyler Fletcher,Scotland,M,
1881884,Manchester United,Jim Thwaites,England,M,
847030,Manchester United,Noussair Mazraoui,Morocco,D,
859999,Manchester United,Lisandro Martínez,Argentina,D,
803031,Manchester United,Matthijs de Ligt,Netherlands,D,
149380,Manchester United,Harry Maguire,England,D,
843200,Manchester United,Diogo Dalot,Portugal,D,
1153315,Manchester United,Leny Yoro,France,D,
190839,Manchester United,Luke Shaw,England,D,
1445799,Manchester United,Ayden Heaven,England,D,
825839,Manchester United,Tyrell Malacia,Netherlands,D,
964753,Manchester United,Senne Lammens,Belgium,G,
815890,Manchester United,Altay Bayındır,Türkiye,G,
18122,Manchester United,Tom Heaton,England,G,
