joueur,club_depart,club_arrivee,montant,date_transfert,type_transfert
Michal Karbownik,Hertha BSC,Başakşehir,0,2026-06-22T16:11:16Z,contract
Gabriel Kobylak,Legia Warszawa,Free agent,0,2026-06-22T14:57:51Z,contract
Salva Ruiz,Castellon,Free agent,0,2026-06-22T14:55:06Z,contract
Cobel Garcia,Basel,FC Stade Lausanne-Ouchy,0,2026-06-22T13:08:20Z,on loan
Ferdinand Pohl,Leverkusen,FC Utrecht,0,2026-06-22T10:56:56Z,contract
Adrián Fernández,Caracas,Atletico Grau,0,2026-06-22T10:09:57Z,contract
Gianluca Lapadula,Spezia,Universitario de Deportes,0,2026-06-22T10:08:17Z,contract
Gustavo Klismahn,Santa Clara,FK Neftchi,300000,2026-06-22T09:44:10Z,contract
Deinner Quiñónes,Once Caldas,Alianza FC,0,2026-06-22T08:02:26Z,contract
Haroun Shapso,Ironi Tiberias,Hapoel Rishon LeZion,0,2026-06-22T05:35:25Z,contract
Bar Cohen,Araz-Naxcivan Nakchivan,Ironi Tiberias,0,2026-06-22T05:17:47Z,contract
Ariel Cohen,Hapoel Tel Aviv,Ironi Tiberias,0,2026-06-22T05:12:06Z,on loan
